Kategorija;g2000;g2001;g2002;g2003;g2004;g2005;g2006;g2007;g2008;g2009;g2010;g2011;g2012;g2013;g2014;g2015;g2016;g2017;g2018
Povrsina;56594;56594;56594;56594;56594;56594;56594;56594;56594;56594;56594;56594;56594;56594;56594;56594;56594;56594;56594
BrojStanovnika;4,426;4,305494;4,305384;4,305725;4,310861;4,312487;4,31353;4,311967;4,309796;4,302847;4,289857;4,28;4,268;4,256;4,238;4,204;4,174;4,125;4,089
BdpHrk;179370,801;193354,2595;211085,3045;232573,3236;250993,2323;270014,8525;294444,7492;322791,3716;346735,1606;330770,7529;328824,1636;333214,8029;330509,4132;331209,0614;331342,7714;339696,0732;351168,6596;366426,1279;382623,8356
BdpEur;23496,76166;25880,61896;28498,17584;30746,3906;33485,05169;36488,26183;40209,04284;44000,89089;48003,13111;45066,87367;45129,53388;44821,85354;43966,27174;43732,35126;43426,23374;44640,45792;46639,76578;49118,12548;51607,51379
BdpPerCapitaEur;5308,802905;6011,068407;6619,194906;7140,816146;7767,601806;8461,071728;9321,609643;10204,36633;11138,14462;10473,73371;10520,05554;10472,39569;10301,37576;10275,45847;10246,86969;10618,56754;11173,87776;11907,42436;12621,05986
BdpIndicator;3,27859973;3,346938606;5,115830447;5,640321017;4,160367567;4,314025871;5,001066436;5,266367341;1,759521735;-7,359499365;-1,496253336;-0,309829005;-2,237724106;-0,548502161;-0,103880629;2,437133244;3,483534448;3,139181715;2,6
Inflation;4,6;3,8;1,7;1,8;2,1;3,3;3,2;2,9;6,1;2,4;1,1;2,3;3,4;2,2;-0,2;-0,5;-1,1;1,1;1,5
ExportBdp;35,38586949;37,42483331;36,31128889;35,94789919;37,05951523;36,82716537;37,97063512;37,86767912;36,43814166;32,6849469;36,2328706;38,85732333;39,57674381;40,50286631;43,32640865;46,43272914;47,69580181;50,11522477;50,56578298
ImportBdp;39,81035842;42,51222323;45,73570615;46,33476901;45,5456927;45,5501081;46,4585133;46,24965214;46,64422401;38,26247834;37,86192063;40,58907878;41,15769981;42,49281927;43,68175338;46,13290895;46,48726317;49,41496373;51,37539814
ForeignDebt;13553,96309;15202,74185;17038,38784;22002,11926;25194,02713;28429,22823;32489,08206;36745,24547;43918,8837;48172,66544;49423,48109;49117,45115;47575,32557;48470,55213;49094,79036;48230,09219;44713,59546;43682,65232;42709,59178
ForeignDebtBdp;57,6843877;58,74180165;59,78764374;71,56000698;75,23962444;77,91335294;80,80043634;83,51023065;91,49170624;106,8915181;109,5147165;109,5837126;108,2086875;110,8345441;113,0533001;108,0412129;95,8701115;88,93387501;82,75847574
InozemniDug;163,0153181;156,959421;164,6530475;199,0658942;203,0237686;211,5648928;212,7971684;220,5316845;251,0877396;327,0359241;302,2523877;282,0155975;273,4148317;273,6461741;260,9339283;232,6833139;201,0032495;177,4587971;163,6649743
OtplaceniInoDug;28,93989567;31,78364249;29,76530421;25,57072463;29,26400478;30,09209282;43,91204485;41,24835048;37,74580099;55,99009295;51,24908286;42,49010442;46,12458106;43,45034021;46,29750416;43,97811066;35,69916088;33,09306247;27,09795011
Pricuve;3783,214098;5333,616229;5651,316504;6554,096954;6436,170067;7438,354011;8725,317543;9307,384631;9120,916383;10375,81569;10660,30418;11194,85961;11235,92263;12907,51366;12687,64941;13706,60554;13514,04636;15706,15934;17437,98946
Eur;7,598334;7,37003;7,442292;7,646909;7,671234;7,375626;7,345081;7,325131;7,324425;7,306199;7,385173;7,53042;7,545624;7,637643;7,661471;7,635047;7,557787;7,513648;7,417575
Usd;8,155344;8,356043;7,145744;6,118506;5,636883;6,233626;5,578401;4,985456;5,155504;5,0893;5,568252;5,81994;5,726794;5,549;6,302107;6,991801;7,168536;6,269733;6,469192
EurAvg;7,633852;7,471006;7,406976;7,564248;7,49568;7,400047;7,322849;7,336019;7,223178;7,339554;7,28623;7,434204;7,51734;7,573548;7,630014;7,609601;7,529383;7,4601;7,414111
UsdAvg;8,287369;8,339153;7,87249;6,704449;6,031216;5,949959;5,83917;5,365993;4,934417;5,28037;5,500015;5,343508;5,850861;5,705883;5,749322;6,862262;6,803718;6,622397;6,278406
Pozajmljivanjehrk;z;-4186,6;-6944,1;-10514,2;-12466,4;-9897,8;-9222,8;-7196,1;-9792;-20004,7;-21261,3;-26369,3;-17694,8;-17677,5;-17725,3;-11262;-3884;2913,5;992,3
PozajmljivanjehrkBdp;z;-2,165248395;-3,289712667;-4,520810829;-4,966827148;-3,665650207;-3,132268456;-2,229334683;-2,824057411;-6,047904726;-6,465856938;-7,913604009;-5,353796078;-5,337263396;-5,349535746;-3,31531651;-1,10602125;0,795112515;0,259340874
DugDrzave;35,67085593;36,7118367;36,79810879;38,17918522;40,3094534;41,25932294;38,74723537;37,35341481;39,28096008;48,66624348;57,79134292;64,36928916;70,12223881;81,18962653;84,73436701;84,42717553;80,96479917;78,00800169;74,77743762
StopaNezaposlenosit;16,05;15,8;14,8;14,25;13,8;12,7;11,2;9,9;8,5;9,2;11,6;13,7;15,9;17,275;17,325;16,2;13,11705405;11,21955808;8,427182871
StopaZaposlenosti;42,6;41,8;43,3;43,1;43,5;43,3;43,6;47,6;48,6;48,2;46,5;44,8;43,2;42,075;43,3;44,2;44,58472413;45,82461446;46,87098173
