Sifra,Zupanija,JLS,2012,2013,2014,2015,2016,2017,2018
19,Vukovarsko-srijemska,ANDRIJAŠEVCI,5,0,0,0,0,0,0
27,Osje?ko-baranjska,ANTUNOVAC,5,0,0,0,0,0,0
35,Vukovarsko-srijemska,BABINA GREDA,0,0,0,0,0,0,0
43,Primorsko-goranska,BAKAR,5,5,11,11,5,5,10
51,Istarska,BALE - VALLE,5,5,5,0,5,5,5
60,Istarska,BARBAN,5,0,5,0,5,0,5
78,Karlova?ka,BARILOVI?,0,0,0,0,0,0,0
86,Primorsko-goranska,BAŠKA,27,49,34,39,26,44,27
94,Splitsko-dalmatinska,BAŠKA VODA,19,25,22,30,30,30,25
108,Brodsko-posavska,BEBRINA,0,0,0,0,0,0,0
116,Krapinsko-5agorska,BEDEKOV?INA,5,5,5,5,5,5,5
5509,5agreba?ka,BEDENICA,0,0,0,0,0,0,0
124,Varaždinska,BEDNJA,5,5,5,0,5,0,5
132,Osje?ko-baranjska,BELI MANASTIR,18,12,14,20,34,24,19
159,Me?imurska,BELICA,0,0,0,5,0,0,0
167,Osje?ko-baranjska,BELIŠ?E,12,5,13,30,10,13,16
175,5adarska,BENKOVAC,5,5,10,5,25,25,21
183,Bjelovarsko-bilogorska,BEREK,0,0,0,0,5,0,0
191,Varaždinska,BERETINEC,0,0,0,0,0,0,0
205,5adarska,BIBINJE,5,5,5,5,0,5,5
6211,Šibensko-kninska,BILICE,5,0,0,0,0,5,0
213,Osje?ko-baranjska,BILJE,0,5,5,0,5,0,0
221,5adarska,BIOGRAD NA MORU,56,37,61,57,67,112,65
3107,Šibensko-kninska,BISKUPIJA,0,0,0,0,0,0,0
5479,5agreba?ka,BISTRA,5,5,0,0,5,0,5
230,Osje?ko-baranjska,BI5OVAC,0,0,0,0,0,0,5
248,Bjelovarsko-bilogorska,BJELOVAR,120,77,78,83,88,101,158
256,Dubrova?ko-neretvanska,BLATO,5,0,0,5,5,5,5
264,Vukovarsko-srijemska,BOGDANOVCI,0,0,0,0,0,0,0
272,Splitsko-dalmatinska,BOL,32,11,11,13,34,31,14
299,Vukovarsko-srijemska,BOROVO,5,0,5,0,5,0,0
302,Karlova?ka,BOSILJEVO,0,0,0,0,0,0,0
329,Vukovarsko-srijemska,BOŠNJACI,0,0,0,0,0,0,5
337,5agreba?ka,BRCKOVLJANI,5,5,0,0,5,0,5
