Šifra;Naziv županije;Naziv JLS-a;2012.;2013.;2014.;2015.;2016.;2017.;2018.;;
19;Vukovarsko-srijemska;ANDRIJAŠEVCI;z;.;.;.;.;.;.;;
27;Osje?ko-baranjska;ANTUNOVAC;z;.;.;.;.;.;.;;
35;Vukovarsko-srijemska;BABINA GREDA;.;.;.;.;.;.;.;;
43;Primorsko-goranska;BAKAR;z;z;11;11;z;z;10;;
51;Istarska;BALE - VALLE;z;z;z;.;z;z;z;;
60;Istarska;BARBAN;z;.;z;.;z;.;z;;
78;Karlova?ka;BARILOVI?;.;.;.;.;.;.;.;;
86;Primorsko-goranska;BAŠKA;27;49;34;39;26;44;27;;
94;Splitsko-dalmatinska;BAŠKA VODA;19;25;22;30;30;30;25;;
108;Brodsko-posavska;BEBRINA;.;.;.;.;.;.;.;;
116;Krapinsko-zagorska;BEDEKOV?INA;z;z;z;z;z;z;z;;
5509;Zagreba?ka;BEDENICA;.;.;.;.;.;.;.;;
124;Varaždinska;BEDNJA;z;z;z;.;z;.;z;;
132;Osje?ko-baranjska;BELI MANASTIR;18;12;14;20;34;24;19;;
159;Me?imurska;BELICA;.;.;.;z;.;.;.;;
167;Osje?ko-baranjska;BELIŠ?E;12;z;13;30;10;13;16;;
175;Zadarska;BENKOVAC;z;z;10;z;25;25;21;;
183;Bjelovarsko-bilogorska;BEREK;.;.;.;.;z;.;.;;
191;Varaždinska;BERETINEC;.;.;.;.;.;.;.;;
205;Zadarska;BIBINJE;z;z;z;z;.;z;z;;
6211;Šibensko-kninska;BILICE;z;.;.;.;.;z;.;;
213;Osje?ko-baranjska;BILJE;.;z;z;.;z;.;.;;
221;Zadarska;BIOGRAD NA MORU;56;37;61;57;67;112;65;;
3107;Šibensko-kninska;BISKUPIJA;.;.;.;.;.;.;.;;
5479;Zagreba?ka;BISTRA;z;z;.;.;z;.;z;;
230;Osje?ko-baranjska;BIZOVAC;.;.;.;.;.;.;z;;
248;Bjelovarsko-bilogorska;BJELOVAR;120;77;78;83;88;101;158;;
256;Dubrova?ko-neretvanska;BLATO;z;.;.;z;z;z;z;;
264;Vukovarsko-srijemska;BOGDANOVCI;.;.;.;.;.;.;.;;
272;Splitsko-dalmatinska;BOL;32;11;11;13;34;31;14;;
299;Vukovarsko-srijemska;BOROVO;z;.;z;.;z;.;.;;
302;Karlova?ka;BOSILJEVO;.;.;.;.;.;.;.;;
329;Vukovarsko-srijemska;BOŠNJACI;.;.;.;.;.;.;z;;
337;Zagreba?ka;BRCKOVLJANI;z;z;.;.;z;.;z;;
345;Zagreba?ka;BRDOVEC;z;z;z;z;z;.;z;;
779;Splitsko-dalmatinska;BRELA;z;z;z;z;z;11;z;;
353;Požeško-slavonska;BRESTOVAC;.;.;.;.;.;.;.;;
361;Varaždinska;BREZNICA;.;.;.;.;z;.;.;;
1511;Varaždinska;BREZNI?KI HUM;.;.;.;.;.;.;.;;
370;Li?ko-senjska;BRINJE;z;.;.;z;.;.;.;;
388;Primorsko-goranska;BROD MORAVICE;.;.;.;z;.;.;z;;
396;Brodsko-posavska;BRODSKI STUPNIK;.;.;.;.;z;.;.;;
400;Istarska;BRTONIGLA - VERTENEGLIO;10;z;z;13;51;18;14;;
418;Krapinsko-zagorska;BUDINŠ?INA;.;z;.;.;.;.;.;;
426;Istarska;BUJE - BUIE;14;14;15;15;10;23;42;;
5673;Brodsko-posavska;BUKOVLJE;.;.;.;.;.;.;.;;
434;Istarska;BUZET;z;z;z;z;z;z;z;;
442;Vukovarsko-srijemska;CERNA;.;.;.;z;.;.;z;;
469;Brodsko-posavska;CERNIK;.;.;.;.;z;.;.;;
477;Istarska;CEROVLJE;.;.;z;.;.;.;z;;
485;Varaždinska;CESTICA;.;.;.;z;z;.;.;;
493;Karlova?ka;CETINGRAD;.;.;.;.;.;.;.;;
507;Splitsko-dalmatinska;CISTA PROVO;.;.;z;.;.;.;.;;
515;Šibensko-kninska;CIVLJANE;.;.;.;.;.;.;.;;
523;Primorsko-goranska;CRES;24;24;46;30;32;47;58;;
531;Primorsko-goranska;CRIKVENICA;185;135;174;150;244;226;295;;
540;Viroviti?ko-podravska;CRNAC;.;z;.;z;.;.;.;;
558;Primorsko-goranska;?ABAR;z;.;z;z;z;z;z;;
566;Viroviti?ko-podravska;?A?INCI;z;.;.;.;.;.;z;;
574;Viroviti?ko-podravska;?A?AVICA;.;z;.;.;.;.;.;;
582;Požeško-slavonska;?AGLIN;.;z;.;.;.;.;.;;
604;Me?imurska;?AKOVEC;80;53;117;91;214;188;183;;
612;Primorsko-goranska;?AVLE;18;13;z;z;10;15;z;;
639;Bjelovarsko-bilogorska;?AZMA;z;z;z;z;z;10;16;;
647;Osje?ko-baranjska;?EMINAC;z;z;z;.;z;.;z;;
655;Osje?ko-baranjska;?EPIN;z;z;z;.;.;.;z;;
663;Osje?ko-baranjska;DARDA;z;z;z;z;11;z;z;;
671;Bjelovarsko-bilogorska;DARUVAR;19;22;14;18;27;21;26;;
